mode,ox/red,error,control changes,Ns changes,counter inc.,Ns,I Range,time/s,control/V/mA,Ecell/V,I/mA,dq/mA.h,(Q-Qo)/mA.h,|Energy|/W.h,freq/Hz,|Z|/Ohm,Phase(Z)/deg,Q charge/discharge/mA.h,half cycle,Energy charge/W.h,Energy discharge/W.h,Capacitance charge/µF,Capacitance discharge/µF,step time/s,z cycle,Re(Z)/Ohm,Im(Z)/Ohm,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg,x,Q discharge/mA.h,Q charge/mA.h,Capacity/mA.h,Efficiency/%,control/V,control/mA,cycle number,P/W,R/Ohm
3,1,0,0,0,0,0,115,0.00E+00,0.00E+00,3.52E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,1,0,1,1,0,1,112,1.54E+01,3.52E+00,3.52E+00,1.13E+02,7.51E-03,7.51E-03,5.54E-04,1.00E+04,1.75E-02,4.50E+01,7.51E-03,0,5.54E-04,0.00E+00,0.00E+00,0.00E+00,1.54E+01,0,1.24E-02,-1.24E-02,4.05E+01,-4.05E+01,5.72E+01,-4.50E+01,1.00E+00,0.00E+00,7.51E-03,7.51E-03,0.00E+00,3.52E+00,0.00E+00,0.00E+00,3.99E-01,3.11E+01
2,0,0,1,0,0,1,112,1.86E+01,3.,3.53E+00,3.51E+02,2.20E-02,2.34E-01,1.30E-02,5.29E+02,1.32E-02,-5.98E+00,2.34E-01,0,1.30E-02,0.00E+00,1.56E+08,0.00E+00,4.75E+01,0,1.31E-02,1.37E-03,7.53E+01,7.88E+00,7.57E+01,5.98E+00,1.00E+00,0.00E+00,2.34E-01,2.34E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,1.24E+00,1.00E+01
2,0,0,1,0,0,1,112,5.07E+01,3.52E+00,3.51E+00,-6.59E+02,1.77E-02,2.51E-01,1.43E-02,3.94E+02,1.37E-02,-7.28E+00,2.51E-01,0,1.43E-02,0.00E+00,6.90E+07,0.00E+00,5.07E+01,0,1.36E-02,1.73E-03,7.26E+01,9.27E+00,7.32E+01,7.28E+00,1.00E+00,0.00E+00,2.51E-01,2.51E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,-2.31E+00,5.32E+00
2,0,0,1,0,0,1,112,5.39E+01,3.52E+00,3.52E+00,-1.45E+02,1.95E-02,2.71E-01,1.57E-02,2.94E+02,1.42E-02,-8.25E+00,2.71E-01,0,1.57E-02,0.00E+00,8.54E+08,0.00E+00,5.39E+01,0,1.40E-02,2.03E-03,6.99E+01,1.01E+01,7.06E+01,8.25E+00,1.00E+00,0.00E+00,2.71E-01,2.71E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,-5.10E-01,2.43E+01
2,0,0,1,0,0,1,112,5.61E+01,3.52E+00,3.51E+00,-5.08E+02,1.24E-02,2.83E-01,1.65E-02,2.19E+02,1.47E-02,-8.92E+00,2.83E-01,0,1.65E-02,0.00E+00,7.78E+07,0.00E+00,5.61E+01,0,1.45E-02,2.28E-03,6.72E+01,1.05E+01,6.80E+01,8.92E+00,1.00E+00,0.00E+00,2.83E-01,2.83E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,-1.78E+00,6.91E+00
2,0,0,1,0,0,1,112,5.82E+01,3.52E+00,3.51E+00,-2.49E+02,1.26E-02,2.96E-01,1.73E-02,1.63E+02,1.53E-02,-9.33E+00,2.96E-01,0,1.73E-02,0.00E+00,1.01E+08,0.00E+00,5.82E+01,0,1.51E-02,2.48E-03,6.46E+01,1.06E+01,6.55E+01,9.33E+00,1.00E+00,0.00E+00,2.96E-01,2.96E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,-8.75E-01,1.41E+01
2,0,0,1,0,0,1,112,6.04E+01,3.52E+00,3.51E+00,-3.82E+02,1.23E-02,3.08E-01,1.81E-02,1.22E+02,1.59E-02,-9.51E+00,3.08E-01,0,1.81E-02,0.00E+00,9.15E+07,0.00E+00,6.04E+01,0,1.57E-02,2.62E-03,6.21E+01,1.04E+01,6.30E+01,9.51E+00,1.00E+00,0.00E+00,3.08E-01,3.08E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,-1.34E+00,9.18E+00
2,1,0,1,0,0,1,112,6.26E+01,3.52E+00,3.53E+00,6.03E+02,1.27E-02,3.21E-01,1.89E-02,9.06E+01,1.65E-02,-9.45E+00,3.21E-01,0,1.89E-02,0.00E+00,2.01E+08,0.00E+00,6.26E+01,0,1.63E-02,2.71E-03,5.98E+01,9.95E+00,6.06E+01,9.45E+00,1.00E+00,0.00E+00,3.21E-01,3.21E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,2.13E+00,5.85E+00
2,1,0,1,0,0,1,113,6.69E+01,3.52E+00,3.53E+00,3.84E+02,2.68E-02,3.48E-01,2.04E-02,6.76E+01,1.71E-02,-9.12E+00,3.48E-01,0,2.04E-02,0.00E+00,3.00E+08,0.00E+00,6.69E+01,0,1.69E-02,2.72E-03,5.76E+01,9.25E+00,5.83E+01,9.12E+00,1.00E+00,0.00E+00,3.48E-01,3.48E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,1.35E+00,9.19E+00
2,0,0,1,0,0,1,113,6.91E+01,3.52E+00,3.51E+00,-4.38E+02,1.34E-02,3.61E-01,2.12E-02,5.03E+01,1.78E-02,-8.56E+00,3.61E-01,0,2.12E-02,0.00E+00,1.01E+08,0.00E+00,6.91E+01,0,1.76E-02,2.64E-03,5.57E+01,8.38E+00,5.63E+01,8.56E+00,1.00E+00,0.00E+00,3.61E-01,3.61E-01,0.00E+00,3.52E+00,0.00E+00,0.00E+00,-1.54E+00,8.02E+00
