mode,ox/red,error,control changes,Ns changes,counter inc.,Ns,I Range,time/s,control/V/mA,Ecell/V,I/mA,dq/mA.h,(Q-Qo)/mA.h,|Energy|/W.h,freq/Hz,|Z|/Ohm,Phase(Z)/deg,Q charge/discharge/mA.h,half cycle,Energy charge/W.h,Energy discharge/W.h,Capacitance charge/µF,Capacitance discharge/µF,step time/s,z cycle,Re(Z)/Ohm,#NAME?,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg,x,Q discharge/mA.h,Q charge/mA.h,Capacity/mA.h,Efficiency/%,control/V,control/mA,cycle number,P/W,R/Ohm
3,0,0,1,1,0,0,115,0.00E+00,0.00E+00,3.15E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1,0,0,0,0,0,1,112,1.00E+01,8.00E+03,3.31E+00,8.00E+03,4.44E-03,4.44E-03,1.47E-05,0.00E+00,0.00E+00,0.00E+00,4.44E-03,0,1.47E-05,0.00E+00,0.00E+00,0.00E+00,1.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.44E-03,4.44E-03,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.65E+01,4.14E-01
1,1,0,0,1,0,1,112,1.00E+01,8.00E+03,3.31E+00,8.00E+03,4.44E-03,8.89E-03,2.94E-05,0.00E+00,0.00E+00,0.00E+00,8.89E-03,0,2.94E-05,0.00E+00,7.52E+06,0.00E+00,1.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,8.89E-03,8.89E-03,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.65E+01,4.14E-01
1,1,0,0,0,0,1,112,4.00E+01,8.00E+03,3.54E+00,8.00E+03,6.67E+01,6.67E+01,2.31E-01,0.00E+00,0.00E+00,0.00E+00,6.67E+01,0,2.31E-01,0.00E+00,1.02E+09,0.00E+00,4.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.83E-01,0.00E+00,6.67E+01,6.67E+01,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.83E+01,4.43E-01
1,1,0,0,0,0,1,112,7.00E+01,8.00E+03,3.62E+00,8.00E+03,6.67E+01,1.33E+02,4.70E-01,0.00E+00,0.00E+00,0.00E+00,1.33E+02,0,4.70E-01,0.00E+00,1.56E+09,0.00E+00,7.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.67E-01,0.00E+00,1.33E+02,1.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.89E+01,4.52E-01
1,1,0,0,0,0,1,112,1.00E+02,8.00E+03,3.65E+00,8.00E+03,6.67E+01,2.00E+02,7.12E-01,0.00E+00,0.00E+00,0.00E+00,2.00E+02,0,7.12E-01,0.00E+00,2.12E+09,0.00E+00,1.00E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.50E-01,0.00E+00,2.00E+02,2.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.92E+01,4.56E-01
1,1,0,0,0,0,1,112,1.30E+02,8.00E+03,3.67E+00,8.00E+03,6.67E+01,2.67E+02,9.56E-01,0.00E+00,0.00E+00,0.00E+00,2.67E+02,0,9.56E-01,0.00E+00,2.65E+09,0.00E+00,1.30E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.33E-01,0.00E+00,2.67E+02,2.67E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.94E+01,4.59E-01
1,1,0,0,0,0,1,112,1.60E+02,8.00E+03,3.69E+00,8.00E+03,6.67E+01,3.33E+02,1.20E+00,0.00E+00,0.00E+00,0.00E+00,3.33E+02,0,1.20E+00,0.00E+00,3.13E+09,0.00E+00,1.60E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.17E-01,0.00E+00,3.33E+02,3.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.95E+01,4.62E-01
1,1,0,0,0,0,1,112,1.90E+02,8.00E+03,3.71E+00,8.00E+03,6.67E+01,4.00E+02,1.45E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+02,0,1.45E+00,0.00E+00,3.58E+09,0.00E+00,1.90E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E-01,0.00E+00,4.00E+02,4.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.97E+01,4.64E-01
1,1,0,0,0,0,1,112,2.20E+02,8.00E+03,3.73E+00,8.00E+03,6.67E+01,4.67E+02,1.70E+00,0.00E+00,0.00E+00,0.00E+00,4.67E+02,0,1.70E+00,0.00E+00,4.02E+09,0.00E+00,2.20E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.83E-01,0.00E+00,4.67E+02,4.67E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.98E+01,4.66E-01
1,1,0,0,0,0,1,112,2.50E+02,8.00E+03,3.74E+00,8.00E+03,6.67E+01,5.33E+02,1.95E+00,0.00E+00,0.00E+00,0.00E+00,5.33E+02,0,1.95E+00,0.00E+00,4.45E+09,0.00E+00,2.50E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.67E-01,0.00E+00,5.33E+02,5.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.99E+01,4.68E-01
1,1,0,0,0,0,1,112,2.80E+02,8.00E+03,3.75E+00,8.00E+03,6.67E+01,6.00E+02,2.20E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+02,0,2.20E+00,0.00E+00,4.86E+09,0.00E+00,2.80E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.50E-01,0.00E+00,6.00E+02,6.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.00E+01,4.69E-01
1,1,0,0,0,0,1,112,3.10E+02,8.00E+03,3.77E+00,8.00E+03,6.67E+01,6.67E+02,2.45E+00,0.00E+00,0.00E+00,0.00E+00,6.67E+02,0,2.45E+00,0.00E+00,5.25E+09,0.00E+00,3.10E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.33E-01,0.00E+00,6.67E+02,6.67E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.01E+01,4.71E-01
1,1,0,0,0,0,1,112,3.40E+02,8.00E+03,3.78E+00,8.00E+03,6.67E+01,7.33E+02,2.70E+00,0.00E+00,0.00E+00,0.00E+00,7.33E+02,0,2.70E+00,0.00E+00,5.62E+09,0.00E+00,3.40E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.17E-01,0.00E+00,7.33E+02,7.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.02E+01,4.72E-01
1,1,0,0,0,0,1,112,3.70E+02,8.00E+03,3.79E+00,8.00E+03,6.67E+01,8.00E+02,2.95E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+02,0,2.95E+00,0.00E+00,5.97E+09,0.00E+00,3.70E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-01,0.00E+00,8.00E+02,8.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.03E+01,4.74E-01
1,1,0,0,0,0,1,112,4.00E+02,8.00E+03,3.80E+00,8.00E+03,6.67E+01,8.67E+02,3.20E+00,0.00E+00,0.00E+00,0.00E+00,8.67E+02,0,3.20E+00,0.00E+00,6.31E+09,0.00E+00,4.00E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.83E-01,0.00E+00,8.67E+02,8.67E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.04E+01,4.75E-01
1,1,0,0,0,0,1,112,4.30E+02,8.00E+03,3.82E+00,8.00E+03,6.67E+01,9.33E+02,3.46E+00,0.00E+00,0.00E+00,0.00E+00,9.33E+02,0,3.46E+00,0.00E+00,6.63E+09,0.00E+00,4.30E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.67E-01,0.00E+00,9.33E+02,9.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.05E+01,4.77E-01
1,1,0,0,0,0,1,112,4.60E+02,8.00E+03,3.83E+00,8.00E+03,6.67E+01,1.00E+03,3.71E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+03,0,3.71E+00,0.00E+00,6.93E+09,0.00E+00,4.60E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.50E-01,0.00E+00,1.00E+03,1.00E+03,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.06E+01,4.78E-01
1,1,0,0,0,0,1,112,4.90E+02,8.00E+03,3.84E+00,8.00E+03,6.67E+01,1.07E+03,3.97E+00,0.00E+00,0.00E+00,0.00E+00,1.07E+03,0,3.97E+00,0.00E+00,7.22E+09,0.00E+00,4.90E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.33E-01,0.00E+00,1.07E+03,1.07E+03,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.07E+01,4.80E-01
1,1,0,0,0,0,1,112,5.20E+02,8.00E+03,3.85E+00,8.00E+03,6.67E+01,1.13E+03,4.22E+00,0.00E+00,0.00E+00,0.00E+00,1.13E+03,0,4.22E+00,0.00E+00,7.48E+09,0.00E+00,5.20E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.17E-01,0.00E+00,1.13E+03,1.13E+03,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.08E+01,4.82E-01
