model,config,n_features,rmse,mae,r2,rmse_soh_below_0.4
gpr,all,140,0.1316195186515457,0.061728097611252024,0.8305668655403796,0.2731768707870944
gpr,only <1Hz,12,0.04824036451179496,0.033007358780916735,0.9772396513562356,0.07967069743417222
gpr,only 1-100Hz,62,0.19637629242351465,0.09996606663092905,0.6228311119237748,0.4073640295690683
gpr,only 100Hz-2kHz,42,0.11176168653699556,0.04750374771855027,0.8778358879807433,0.23303235395935035
gpr,only >2kHz,24,0.14037817924401222,0.06933746747320105,0.8072666105176463,0.28492649153008676
gpr,drop <1Hz,128,0.12648142427214318,0.059712508661849094,0.8435371475025862,0.2621284684826128
gpr,drop 1-100Hz,78,0.12182987219432306,0.06006976298157782,0.854833860983226,0.2502776943418893
gpr,drop 100Hz-2kHz,98,0.12844554102539807,0.06147763419647192,0.8386400266144969,0.2657449641408596
gpr,drop >2kHz,116,0.17182757937905105,0.08361504392149853,0.7112357049391864,0.35794366278570794
xgb,all,140,0.04166774388492663,0.02797754203676903,0.9830192166539263,0.049267932440742485
xgb,only <1Hz,12,0.06902910756370978,0.03339064766146638,0.9533960995167993,0.05015497668094469
xgb,only 1-100Hz,62,0.050268765633873946,0.02841192916153124,0.9752853655620226,0.06795245108587948
xgb,only 100Hz-2kHz,42,0.05193330462803956,0.0358774509014034,0.9736215261185579,0.05032299506681889
xgb,only >2kHz,24,0.05130745286380748,0.038354993944212795,0.9742534727628045,0.05836381611336231
xgb,drop <1Hz,128,0.04267066874217603,0.028263542138405456,0.9821919384793129,0.04934786763192554
xgb,drop 1-100Hz,78,0.04181234522618957,0.028199636316388495,0.9829011538823872,0.04988626379849529
xgb,drop 100Hz-2kHz,98,0.04085690698542462,0.027137890063209442,0.9836736643585341,0.048495491885774435
xgb,drop >2kHz,116,0.04260986029607981,0.027534339980300856,0.9822426575795172,0.04703051455495485
