cell,n,soh_std,rmse,mae,r2
B4,135,0.2932822289593264,0.4475981236767682,0.4196591751781966,-1.3465725615327422
B3,127,0.32523502260537157,0.4016662350683017,0.3358325320487902,-0.5373374784758382
B2,115,0.284088770367457,0.17478050969210704,0.13580573406334345,0.6181692873989921
B1,102,0.29117526849105946,0.1304327245767305,0.10791534776111843,0.7973517016677992
A4,269,0.1989700349695507,0.10778957787563126,0.04630524746386375,0.7054251428659227
A5,298,0.3806257291729255,0.06412916194518152,0.04848307677378523,0.9715177260149686
B5,54,0.018059886909890896,0.04182474021816068,0.03349107091452229,-4.464549214297903
B6,54,0.018391341700169612,0.03719834626335826,0.036467183491912115,-3.1681019104451726
A7,300,0.37353883121969395,0.03679434038659382,0.029485006019554862,0.9902648959271251
A2,266,0.13076250811495926,0.036324281121402076,0.03029617567099537,0.9225425251255823
A3,266,0.08716486212251803,0.035370416496622745,0.029477436013500277,0.8347150863586844
A6,266,0.027731084791132867,0.028755686779024802,0.025927455425138867,-0.07931828357613302
A1,267,0.10739007763040216,0.018005243312385164,0.014342764978999532,0.9717837495711035
A8,266,0.060791657706454956,0.01608129529204359,0.014818629347945388,0.9297591361920131
