cell,n,soh_std,rmse,mae,r2
B4,135,0.2932822289593264,0.07169977235018073,0.03775735332555501,0.9397866171391245
A4,269,0.1989700349695507,0.06358712475392178,0.04849988041057661,0.8974866304058731
B1,102,0.29117526849105946,0.06125566165461703,0.046555483875139386,0.9553046544446707
A5,298,0.3806257291729255,0.056460131384396935,0.045898673265312946,0.9779226318538508
A3,266,0.08716486212251803,0.04290332731996992,0.04021559041629,0.7568161011164101
B2,115,0.284088770367457,0.04233375931681681,0.03759131414546014,0.9775994579425824
B3,127,0.32523502260537157,0.04215378390027364,0.02713927203639377,0.9830678661310499
A7,300,0.37353883121969395,0.03312563984460816,0.021514316499423525,0.9921094530789524
A2,266,0.13076250811495926,0.028142285750694978,0.01848944400773101,0.9535069523401463
B5,54,0.018059886909890896,0.022776888693382822,0.020463708461664218,-0.6206029916055573
A1,267,0.10739007763040216,0.017827816867117655,0.012133312277504424,0.9723371042195558
A6,266,0.027731084791132867,0.016702339213951818,0.013560059703684069,0.6358698461929915
A8,266,0.060791657706454956,0.013878525293862404,0.01040611306189441,0.9476840118352581
B6,54,0.018391341700169612,0.010875140632008753,0.01007133398780725,0.6437451160054122
