ns,part,freq,importance
1,re,7450.0,0.43725106
1,re,10000.0,0.30845788
1,re,5560.0,0.11722278
1,re,4140.0,0.05242106
1,re,3090.0,0.021026362
1,re,2300.0,0.011155291
1,re,1710.0,0.00888299
1,re,1.1,0.003578816
1,im,0.254,0.0035090696
1,im,7450.0,0.002227399
1,re,952.0,0.0021945243
1,re,0.822,0.0020018942
1,re,1.48,0.0018758519
1,im,0.34,0.0012639674
1,re,1.99,0.0011952196
1,re,0.612,0.0011789154
1,im,10000.0,0.0011019752
1,im,2300.0,0.0010895095
1,im,5560.0,0.0010894787
1,im,1710.0,0.0010103894
1,re,1280.0,0.0010052683
1,re,710.0,0.00095933664
1,im,219.0,0.0008386678
1,re,4.8,0.00073195493
1,im,3090.0,0.0007271249
1,im,294.0,0.00071068713
1,re,3.57,0.00064366776
1,im,1280.0,0.0005964553
1,im,163.0,0.0005754078
1,re,2.66,0.0005592982
1,im,122.0,0.0005514802
1,im,67.6,0.00055089104
1,re,122.0,0.0005484268
1,im,4140.0,0.0005143952
1,im,394.0,0.00048062715
1,re,529.0,0.00047034593
1,re,163.0,0.00044230086
1,im,90.6,0.00041868075
1,re,8.64,0.00041773595
1,im,529.0,0.0004116736
1,re,67.6,0.0003967362
1,re,6.43,0.00039377323
1,re,90.6,0.00038962698
1,im,50.3,0.00037794182
1,im,0.456,0.0003681294
1,re,11.6,0.00033363365
1,re,394.0,0.0003246257
1,re,294.0,0.0003235362
1,im,8.64,0.00031050103
1,re,219.0,0.00030173332
1,re,0.254,0.00029923176
1,re,50.3,0.00029159428
1,im,6.43,0.0002857969
1,re,15.5,0.00025947805
1,im,0.612,0.00024466013
1,re,0.34,0.00023971366
1,re,0.456,0.00023146182
1,re,20.9,0.00022863831
1,im,710.0,0.00022546701
1,im,37.5,0.00021717245
1,im,4.8,0.00019874124
1,im,1.99,0.00016771413
1,im,952.0,0.00016651781
1,im,3.57,0.00016484185
1,im,1.48,0.00015785424
1,im,28.0,0.00015708843
1,re,37.5,0.00015208311
1,im,11.6,0.00014995856
1,re,28.0,0.00014881752
1,im,1.1,0.00014872916
1,im,2.66,0.00014603049
1,im,0.822,0.00013099532
1,im,20.9,9.8356395e-05
1,im,15.5,7.990628e-05
