cell,n,soh_std,rmse,mae,r2
B4,135,0.2932822289593264,0.08536502595806758,0.04665657232389038,0.9146472679451615
B1,102,0.29117526849105946,0.07206559268152105,0.06174734579033404,0.9381377439537341
A4,269,0.1989700349695507,0.06734636642997081,0.051205887673560234,0.885007246990072
B2,115,0.284088770367457,0.057670485225136674,0.046536910567199885,0.9584288473958908
A3,266,0.08716486212251803,0.050856619592326936,0.045144048068097735,0.6582977435685338
A5,298,0.3806257291729255,0.04680601385356554,0.03868241941083125,0.9848271611759786
A2,266,0.13076250811495926,0.0351619387339962,0.020183801744969008,0.9274203441888845
B3,127,0.32523502260537157,0.03487081697463484,0.029055023976455704,0.9884132187293986
A7,300,0.37353883121969395,0.025246426408300496,0.017588229933622638,0.9954166989811463
B5,54,0.018059886909890896,0.023650050304657874,0.0204597535831044,-0.7472376321088574
A8,266,0.060791657706454956,0.020597549903797658,0.014898069931430181,0.8847664562528277
A6,266,0.027731084791132867,0.017444227787951596,0.014893680613473825,0.6028033807057511
A1,267,0.10739007763040216,0.01690876101069009,0.011906969026529551,0.9751157312102823
B6,54,0.018391341700169612,0.014502392734656115,0.013849894281852591,0.36646532883915683
