rank,feature_index,feature_type,frequency_hz,importance,importance_percent,cumulative_percent,is_literature_range_1_10_hz,frequency_range
1,78,Imaginary,1.78,0.3594675660133362,35.94676971435547,35.94676971435547,True,Low (1-10 Hz)
2,39,Real,135.0,0.2156578004360199,21.56578826904297,57.51255798339844,False,Mid (10-1000 Hz)
3,125,Imaginary,1710.0,0.18298056721687317,18.298063278198242,75.81061553955078,False,High (>1000 Hz)
4,37,Real,102.0,0.06283436715602875,6.283439636230469,82.09406280517578,False,Mid (10-1000 Hz)
5,138,Action,Action_Vector,0.03483682870864868,3.4836843013763428,85.57774353027344,,Action Vector
6,42,Real,219.0,0.01800885982811451,1.8008867502212524,87.37863159179688,False,Mid (10-1000 Hz)
7,33,Real,56.2,0.015989715233445168,1.5989723205566406,88.97760772705078,False,Mid (10-1000 Hz)
8,9,Real,1.78,0.01564292423427105,1.5642931461334229,90.54190063476562,True,Low (1-10 Hz)
9,106,Imaginary,102.0,0.014800071716308594,1.4800077676773071,92.02190399169922,False,Mid (10-1000 Hz)
10,43,Real,237.0,0.009123853407800198,0.9123857021331787,92.93429565429688,False,Mid (10-1000 Hz)
11,23,Real,13.3,0.008881925605237484,0.8881929516792297,93.82249450683594,False,Mid (10-1000 Hz)
12,84,Imaginary,4.22,0.0064120814204216,0.6412084102630615,94.46369934082031,True,Low (1-10 Hz)
13,114,Imaginary,316.0,0.005952746141701937,0.5952748656272888,95.05897521972656,False,Mid (10-1000 Hz)
14,128,Imaginary,2370.0,0.004685062915086746,0.46850648522377014,95.52748107910156,False,High (>1000 Hz)
15,82,Imaginary,3.16,0.0037269634194672108,0.37269651889801025,95.90017700195312,True,Low (1-10 Hz)
16,139,Action,Action_Vector,0.0028061491902917624,0.28061503171920776,96.18079376220703,,Action Vector
17,88,Imaginary,7.5,0.002794708590954542,0.2794709801673889,96.46025848388672,True,Low (1-10 Hz)
18,45,Real,316.0,0.0027388555463403463,0.27388566732406616,96.73414611816406,False,Mid (10-1000 Hz)
19,112,Imaginary,237.0,0.002459468087181449,0.24594689905643463,96.98008728027344,False,Mid (10-1000 Hz)
20,111,Imaginary,219.0,0.0023669558577239513,0.23669567704200745,97.21678161621094,False,Mid (10-1000 Hz)
21,13,Real,3.16,0.002302575623616576,0.23025766015052795,97.4470443725586,True,Low (1-10 Hz)
22,126,Imaginary,1780.0,0.0020724290516227484,0.20724299550056458,97.65428924560547,False,High (>1000 Hz)
23,77,Imaginary,1.48,0.0020435720216482878,0.2043572962284088,97.858642578125,True,Low (1-10 Hz)
24,14,Real,3.57,0.0018613359425216913,0.18613368272781372,98.0447769165039,True,Low (1-10 Hz)
25,92,Imaginary,13.3,0.0017701240722090006,0.17701247334480286,98.22179412841797,False,Mid (10-1000 Hz)
26,122,Imaginary,1000.0,0.0017196356784552336,0.171963632106781,98.39375305175781,False,Mid (10-1000 Hz)
27,73,Imaginary,0.822,0.0016116583719849586,0.16116590797901154,98.55492401123047,False,Action Vector
28,60,Real,3090.0,0.0014370681019499898,0.14370687305927277,98.6986312866211,False,High (>1000 Hz)
29,76,Imaginary,1.33,0.0012167856330052018,0.12167861312627792,98.82030487060547,True,Low (1-10 Hz)
30,3,Real,0.612,0.0010412512347102165,0.10412517189979553,98.92443084716797,False,Action Vector
