rank,feature_index,feature_type,frequency_hz,importance,importance_percent,cumulative_percent,is_literature_range_1_10_hz,frequency_range
1,138,Action,Action_Vector,0.6241647005081177,62.41647136875138,62.41647136875138,,Action Vector
2,69,Imaginary,0.254,0.18784010410308838,18.78401080693799,81.20048217568937,False,Action Vector
3,90,Imaginary,10.0,0.09493158012628555,9.493158213078997,90.69364038876837,True,Low (1-10 Hz)
4,139,Action,Action_Vector,0.01322066318243742,1.3220663461595081,92.01570673492789,,Action Vector
5,100,Imaginary,42.2,0.012607082724571228,1.2607082990772982,93.27641503400518,False,Mid (10-1000 Hz)
6,86,Imaginary,5.62,0.009659213945269585,0.9659214149226341,94.24233644892782,True,Low (1-10 Hz)
7,89,Imaginary,8.64,0.006218553055077791,0.6218553186384118,94.86419176756623,True,Low (1-10 Hz)
8,88,Imaginary,7.5,0.006198548246175051,0.6198548377058971,95.48404660527213,True,Low (1-10 Hz)
9,68,Real,10000.0,0.004802479408681393,0.4802479510086965,95.96429455628082,False,High (>1000 Hz)
10,16,Real,4.8,0.004592257551848888,0.4592257648815573,96.42352032116237,True,Low (1-10 Hz)
11,19,Real,7.5,0.004538300447165966,0.4538300542993333,96.87735037546172,True,Low (1-10 Hz)
12,106,Imaginary,102.0,0.004220421425998211,0.42204215151134816,97.29939252697307,False,Mid (10-1000 Hz)
13,127,Imaginary,2300.0,0.0038784921634942293,0.38784922453895765,97.687241751512,False,High (>1000 Hz)
14,93,Imaginary,15.5,0.003709216136485338,0.3709216214806379,98.05816337299265,False,Mid (10-1000 Hz)
15,91,Imaginary,11.6,0.0027702769730240107,0.2770277031519113,98.33519107614457,False,Mid (10-1000 Hz)
16,1,Real,0.34,0.0018673805752769113,0.18673806147071265,98.52192913761527,False,Action Vector
17,70,Imaginary,0.34,0.0014062252594158053,0.14062252891086088,98.66255166652613,False,Action Vector
18,18,Real,6.43,0.0013023318024352193,0.13023318299342862,98.79278484951956,True,Low (1-10 Hz)
19,12,Real,2.66,0.00123483850620687,0.12348385322807987,98.91626870274764,True,Low (1-10 Hz)
20,5,Real,0.999,0.0010506350081413984,0.10506350303258236,99.02133220578023,False,Action Vector
