ns,part,freq,w_mean,w_std
6,im,31.6,0.39882122280251975,0.2511333269620541
6,im,17.8,0.3685455015528531,0.24950885306055445
6,im,23.7,0.3273650812075056,0.30417190128173566
6,im,5620.0,0.3059340202658009,0.3041359964869611
6,im,564.0,0.2520556377208713,0.2302228751797606
1,im,6.43,0.23838919452808005,0.2407879426151677
6,im,750.0,0.23136987923899244,0.18574520014618487
6,re,7500.0,0.23070086010221477,0.16252618342098055
6,im,7500.0,0.19434412143077529,0.2714822982798825
6,im,42.2,0.19394023857365536,0.21974708939772133
6,im,422.0,0.19109876935116657,0.23468523423462778
1,im,4.8,0.17214142294250276,0.22970646441219492
1,im,7450.0,0.17123245523857974,0.23384327383787554
6,im,316.0,0.16299173282836163,0.1875031528719552
6,re,1.33,0.12150724523732294,0.16605253028899566
6,im,13.3,0.11860899156864835,0.23306929921949956
1,im,5560.0,0.1075802405871403,0.1329595375262009
6,im,56.2,0.10687731420654267,0.20742785058336682
6,im,1000.0,0.09651646224176225,0.11527096836319171
6,re,2.37,0.09413297996231602,0.1976113364751255
6,im,4220.0,0.08787665770624387,0.16887770646495787
1,im,394.0,0.08388444495642457,0.09738444122077268
6,im,1330.0,0.08365539310764912,0.12643761032873227
1,im,67.6,0.0818251539080318,0.0963250370924068
6,im,178.0,0.07377083880419859,0.14610723378021373
6,im,1780.0,0.07258193419883284,0.10347516683286745
6,re,5620.0,0.06398501548245893,0.09209697324804117
1,im,3.57,0.0631175083318078,0.15930289245876225
6,re,1000.0,0.055549022372243254,0.12177239846383472
6,im,3160.0,0.05405701348583671,0.0855624815020525
6,re,3.16,0.05369543794018782,0.08667238679068308
6,re,10.0,0.05288616683022803,0.10829904470194758
6,re,17.8,0.05188377199907241,0.09580149006740717
1,im,8.64,0.04807299782026558,0.13350072052413275
1,im,219.0,0.04548978769078275,0.11369933450737756
6,im,1.78,0.04299932565753097,0.08555415137214056
1,re,28.0,0.041628199620914595,0.07069162433655216
6,re,4.22,0.040962617920045866,0.13353648876349078
1,re,50.3,0.03913304409590341,0.06854851183052146
6,re,23.7,0.038754539385679486,0.09717476678029896
6,re,0.999,0.03593725405174202,0.09188226456996872
1,im,90.6,0.034886395921448016,0.0565079976864276
6,re,102.0,0.034351087340480306,0.08522457077418753
6,re,5.62,0.03416180613991359,0.12317214369991898
1,re,3.57,0.0338769309694089,0.08287144293756037
1,im,294.0,0.033577824197333975,0.10991667841163734
1,re,1.99,0.030995505489007338,0.08062668071315632
1,im,4140.0,0.030513925416900508,0.05011796243891499
1,re,219.0,0.030145174466095746,0.08398026093078487
1,re,4.8,0.029976070350547494,0.07357365392886905
6,re,31.6,0.029959157677730767,0.06184976016913113
6,im,75.0,0.029234733536125525,0.10540733078902721
6,re,42.2,0.02907867795090729,0.07811301572870302
1,re,4140.0,0.02854704716780259,0.10046961288881312
6,re,56.2,0.025980828719964134,0.08193974486713085
1,re,710.0,0.025473585585895187,0.049736410071135655
1,re,67.6,0.025009018046176817,0.0883268351265363
6,im,4.22,0.024145919956336827,0.05996162834656968
6,im,10.0,0.023709048156172165,0.08548418881952372
1,re,15.5,0.0236924434025683,0.08542431952898848
6,re,316.0,0.022960983197462457,0.05626613304034239
6,re,564.0,0.02243323289059877,0.043055824208387126
6,re,178.0,0.022219840157787937,0.034190201882013035
1,re,8.64,0.02210573036925587,0.062099148173804845
6,re,237.0,0.021803377197327056,0.051923262535302925
1,re,1710.0,0.020759980013444375,0.06721400426418714
6,re,135.0,0.020054774305026554,0.048126003523221876
6,re,7.5,0.019972191411914964,0.05021377626629027
6,re,13.3,0.019426168069982572,0.06537378102427725
1,re,7450.0,0.019363453335201886,0.060593228476121266
6,re,4220.0,0.018964266357994856,0.04754683982671494
1,re,952.0,0.018050182276295314,0.05767755594851692
6,im,2.37,0.017083832429883494,0.04713868966603061
6,re,1780.0,0.01636524394198638,0.03669388907890447
1,re,163.0,0.01600152158047834,0.03572672265286872
6,re,2370.0,0.01564883235124475,0.050631874573268225
1,re,0.612,0.015100106470843153,0.05444420814559057
1,re,1280.0,0.014601395878375268,0.03728438950139344
6,re,422.0,0.014559464167108488,0.028518645715577627
1,re,1.48,0.0140945504065121,0.050818624195291186
1,re,2300.0,0.013933804458033841,0.037965354213615826
1,re,1.1,0.013127822842067228,0.04733303839228078
6,re,1330.0,0.01268278242667375,0.03942214509142699
1,im,122.0,0.012383640651313936,0.031189688406126827
1,re,0.254,0.011343438385916492,0.04089934874048838
1,im,710.0,0.010784930775411594,0.03459932924199997
6,re,75.0,0.010127587701036425,0.02604913417945871
1,re,2.66,0.010118454166516256,0.03618045640537596
1,im,37.5,0.00999375788757858,0.029668561558235603
1,re,3090.0,0.00977099835061467,0.03522983554842667
1,im,952.0,0.008888787026827615,0.029638421136363242
1,im,163.0,0.007347925233698092,0.02649332119798726
1,re,11.6,0.006287696057684167,0.02267061054051305
1,im,50.3,0.00570659968693446,0.020575437779788954
6,re,750.0,0.005447721150671307,0.012761116601225439
1,re,20.9,0.00523791197882902,0.018619952279502507
1,re,294.0,0.005191943870263828,0.013012207800067656
1,im,1710.0,0.00328596561725618,0.010449145932114698
1,re,122.0,0.0030463653642810473,0.010856430241043337
1,re,90.6,0.0027642223333775263,0.009966545359775387
1,im,28.0,0.002683128802933477,0.009674158477650964
1,re,529.0,0.00257765712656774,0.006554983029653517
6,im,135.0,0.002510021647773858,0.009050011753573254
6,re,1.78,0.002241618149551583,0.0060091397527433045
1,im,3090.0,0.0018981896188473336,0.006844020001307507
1,re,394.0,0.0018825674718951951,0.0041658503687949724
1,im,2300.0,0.0018435137797754382,0.00664688346000477
1,re,5560.0,0.001550358418687059,0.003120192416990086
1,re,37.5,0.0013231550229072901,0.004770703280479964
1,im,1280.0,0.0011091701133752114,0.0039991640637257785
6,im,10000.0,0.0007843330231921015,0.002827838538315546
6,re,3160.0,0.0007018169801305888,0.0017007379023911563
6,im,2370.0,0.0004679648943484916,0.0016872714216905748
1,im,20.9,0.00039921784256285775,0.0014394004014404939
1,re,6.43,0.0001335119817010043,0.00048138429591178077
1,re,10000.0,1.3574973575886836e-07,4.894526229109405e-07
6,re,10000.0,8.875033323929204e-10,2.1756992147636627e-09
6,im,0.999,8.700262728145868e-15,3.1369243376338136e-14
1,im,10000.0,8.305061381466902e-15,2.7282418903557972e-14
1,im,529.0,6.493633417325313e-15,2.3413128250232867e-14
6,im,237.0,6.332989877828208e-15,2.2833883967521985e-14
6,im,102.0,3.721910439439031e-15,1.3419538932082139e-14
1,re,0.822,4.647339592757349e-27,1.675622119600998e-26
6,im,5.62,4.150767235520477e-28,1.4965557789257762e-27
6,im,3.16,1.9788012173649896e-29,7.134669253159983e-29
6,im,1.33,1.030439016240683e-30,3.7109157381170965e-30
6,im,7.5,5.14251955112479e-32,1.7891125064194973e-31
1,im,11.6,3.919057230156773e-33,1.413036174980786e-32
1,im,2.66,9.401175121897808e-35,3.389633724391479e-34
1,im,15.5,2.3028564981319e-37,8.303065842757538e-37
1,re,0.34,2.5709523392682055e-41,9.256287561325447e-41
1,im,0.254,4.3910242813546885e-42,1.56979339514301e-41
1,im,1.99,3.720075976020678e-44,4.9784122222889134e-60
1,im,1.48,3.720075976020678e-44,4.9784122222889134e-60
1,im,0.34,3.720075976020678e-44,4.9784122222889134e-60
1,im,0.456,3.720075976020678e-44,4.9784122222889134e-60
1,im,0.612,3.720075976020678e-44,4.9784122222889134e-60
1,im,0.822,3.720075976020678e-44,4.9784122222889134e-60
1,re,0.456,3.720075976020678e-44,4.9784122222889134e-60
1,im,1.1,3.720075976020678e-44,4.9784122222889134e-60
