cell,n,soh_std,rmse,mae,r2
B3,127,0.32523502260537157,0.39294786283738575,0.3197111031777777,-0.47132436187506066
B4,135,0.2932822289593264,0.33207685017363,0.30248824999979307,-0.29161974530507595
B1,102,0.29117526849105946,0.28386748023781183,0.21306183237990575,0.0401549837545484
A4,269,0.1989700349695507,0.09072115535873242,0.0510776519965955,0.7913303544657582
B2,115,0.284088770367457,0.0821021397121714,0.06891289819571615,0.9157453640653489
A5,298,0.3806257291729255,0.06466036560054099,0.05006942177625623,0.9710439150186359
A7,300,0.37353883121969395,0.041657687123737366,0.03429076489834095,0.9875213138232287
A3,266,0.08716486212251803,0.032226127956922763,0.028464984777473383,0.8627952578463073
A1,267,0.10739007763040216,0.030677025593219498,0.020411498418137327,0.9180917194023751
A2,266,0.13076250811495926,0.02584423246293901,0.0153476670186412,0.9607900258382139
B6,54,0.018391341700169612,0.015447541137233432,0.014059619421413047,0.2811971601113967
B5,54,0.018059886909890896,0.012944197281406479,0.01084570714408272,0.47659473850797196
A8,266,0.060791657706454956,0.012430462612910696,0.009229625754851143,0.9580316037510066
A6,266,0.027731084791132867,0.0049036819520722605,0.0036254540908912843,0.9686132293271245
