ns,part,freq,w_mean,w_std
6,im,31.6,0.39882122280251975,0.2511333269620541
6,im,17.8,0.3685455015528531,0.24950885306055445
6,im,23.7,0.3273650812075056,0.30417190128173566
6,im,5620.0,0.3059340202658009,0.3041359964869611
6,im,564.0,0.2520556377208713,0.2302228751797606
1,im,6.43,0.23838919452808005,0.2407879426151677
6,im,750.0,0.23136987923899244,0.18574520014618487
6,re,7500.0,0.23070086010221477,0.16252618342098055
6,im,7500.0,0.19434412143077529,0.2714822982798825
6,im,42.2,0.19394023857365536,0.21974708939772133
6,im,422.0,0.19109876935116657,0.23468523423462773
1,im,4.8,0.17214142294250276,0.22970646441219492
1,im,7450.0,0.17123245523857974,0.23384327383787554
6,im,316.0,0.1629917328283616,0.1875031528719552
6,re,1.33,0.12150724523732294,0.16605253028899566
6,im,13.3,0.11860899156864833,0.23306929921949956
1,im,5560.0,0.10758024058714029,0.13295953752620088
6,im,56.2,0.10687731420654267,0.20742785058336682
6,im,1000.0,0.09651646224176222,0.11527096836319171
6,re,2.37,0.094132979962316,0.1976113364751255
6,im,4220.0,0.08787665770624387,0.16887770646495787
1,im,394.0,0.08388444495642454,0.09738444122077267
6,im,1330.0,0.0836553931076491,0.12643761032873227
1,im,67.6,0.08182515390803179,0.09632503709240679
6,im,178.0,0.07377083880419859,0.14610723378021373
6,im,1780.0,0.07258193419883283,0.10347516683286745
6,re,5620.0,0.06398501548245888,0.09209697324804116
1,im,3.57,0.06311750833180779,0.15930289245876225
6,re,1000.0,0.055549022372243254,0.12177239846383471
6,im,3160.0,0.054057013485836684,0.0855624815020525
6,re,3.16,0.053695437940187815,0.08667238679068308
6,re,10.0,0.052886166830228024,0.10829904470194757
6,re,17.8,0.05188377199907241,0.09580149006740717
1,im,8.64,0.04807299782026558,0.13350072052413275
1,im,219.0,0.04548978769078273,0.11369933450737756
6,im,1.78,0.042999325657530965,0.08555415137214054
1,re,28.0,0.04162819962091459,0.07069162433655214
6,re,4.22,0.040962617920045866,0.13353648876349078
1,re,50.3,0.03913304409590339,0.06854851183052145
6,re,23.7,0.03875453938567948,0.09717476678029896
6,re,0.999,0.03593725405174202,0.0918822645699687
1,im,90.6,0.034886395921448,0.05650799768642757
6,re,102.0,0.03435108734048029,0.08522457077418746
6,re,5.62,0.034161806139913584,0.12317214369991898
1,re,3.57,0.03387693096940889,0.08287144293756037
1,im,294.0,0.033577824197333975,0.10991667841163734
1,re,1.99,0.03099550548900733,0.0806266807131563
1,im,4140.0,0.030513925416900466,0.05011796243891497
1,re,219.0,0.03014517446609574,0.08398026093078487
1,re,4.8,0.029976070350547494,0.07357365392886905
6,re,31.6,0.029959157677730767,0.06184976016913113
6,im,75.0,0.02923473353612552,0.1054073307890272
6,re,42.2,0.029078677950907284,0.07811301572870301
1,re,4140.0,0.02854704716780258,0.10046961288881312
6,re,56.2,0.025980828719964134,0.08193974486713085
1,re,710.0,0.025473585585895176,0.04973641007113565
1,re,67.6,0.0250090180461768,0.0883268351265363
6,im,4.22,0.02414591995633682,0.059961628346569665
6,im,10.0,0.023709048156172165,0.08548418881952372
1,re,15.5,0.0236924434025683,0.08542431952898848
6,re,316.0,0.02296098319746245,0.05626613304034237
6,re,564.0,0.022433232890598752,0.043055824208387106
6,re,178.0,0.022219840157787912,0.03419020188201301
1,re,8.64,0.02210573036925586,0.06209914817380484
6,re,237.0,0.02180337719732705,0.051923262535302925
1,re,1710.0,0.020759980013444347,0.06721400426418714
6,re,135.0,0.02005477430502654,0.048126003523221876
6,re,7.5,0.019972191411914954,0.050213776266290255
6,re,13.3,0.01942616806998257,0.06537378102427725
1,re,7450.0,0.019363453335201872,0.060593228476121246
6,re,4220.0,0.018964266357994836,0.04754683982671494
1,re,952.0,0.018050182276295294,0.05767755594851693
6,im,2.37,0.017083832429883487,0.04713868966603058
6,re,1780.0,0.01636524394198637,0.03669388907890447
1,re,163.0,0.01600152158047833,0.03572672265286871
6,re,2370.0,0.015648832351244733,0.050631874573268225
1,re,0.612,0.01510010647084315,0.054444208145590554
1,re,1280.0,0.014601395878375242,0.0372843895013934
6,re,422.0,0.014559464167108472,0.028518645715577606
1,re,1.48,0.014094550406512099,0.05081862419529118
1,re,2300.0,0.013933804458033829,0.0379653542136158
1,re,1.1,0.01312782284206722,0.04733303839228076
6,re,1330.0,0.012682782426673738,0.03942214509142698
1,im,122.0,0.012383640651313936,0.031189688406126827
1,re,0.254,0.011343438385916492,0.04089934874048838
1,im,710.0,0.010784930775411584,0.034599329241999946
6,re,75.0,0.010127587701036415,0.02604913417945869
1,re,2.66,0.010118454166516255,0.03618045640537596
1,im,37.5,0.009993757887578577,0.029668561558235607
1,re,3090.0,0.00977099835061467,0.03522983554842667
1,im,952.0,0.008888787026827608,0.02963842113636323
1,im,163.0,0.007347925233698091,0.026493321197987255
1,re,11.6,0.0062876960576841645,0.022670610540513038
1,im,50.3,0.005706599686934458,0.020575437779788944
6,re,750.0,0.005447721150671285,0.012761116601225406
1,re,20.9,0.005237911978829014,0.018619952279502503
1,re,294.0,0.005191943870263807,0.013012207800067632
1,im,1710.0,0.0032859656172561703,0.010449145932114684
1,re,122.0,0.003046365364281039,0.010856430241043338
1,re,90.6,0.002764222333377521,0.009966545359775364
1,im,28.0,0.0026831288029334718,0.009674158477650947
1,re,529.0,0.0025776571265677334,0.0065549830296535005
6,im,135.0,0.002510021647773857,0.009050011753573253
6,re,1.78,0.002241618149551579,0.006009139752743298
1,im,3090.0,0.0018981896188473286,0.00684402000130749
1,re,394.0,0.0018825674718951884,0.0041658503687949655
1,im,2300.0,0.0018435137797754356,0.006646883460004761
1,re,5560.0,0.0015503584186870357,0.0031201924169900566
1,re,37.5,0.0013231550229072856,0.004770703280479948
1,im,1280.0,0.0011091701133752047,0.003999164063725754
6,im,10000.0,0.0007843330231920968,0.002827838538315529
6,re,3160.0,0.0007018169801305829,0.0017007379023911422
6,im,2370.0,0.00046796489434848575,0.0016872714216905535
1,im,20.9,0.00039921784256285715,0.0014394004014404915
1,re,6.43,0.00013351198170099998,0.0004813842959117654
1,re,10000.0,1.3574973575886836e-07,4.894526229109405e-07
6,re,10000.0,8.875033323929204e-10,2.1756992147636627e-09
6,im,0.999,8.700262728145868e-15,3.1369243376338136e-14
1,im,10000.0,8.305061381466905e-15,2.7282418903557972e-14
1,im,529.0,6.4936334173253134e-15,2.3413128250232867e-14
6,im,237.0,6.332989877828209e-15,2.2833883967521988e-14
6,im,102.0,3.721910439439032e-15,1.341953893208214e-14
1,re,0.822,4.647339592757349e-27,1.675622119600998e-26
6,im,5.62,4.150767235520477e-28,1.4965557789257762e-27
6,im,3.16,1.9788012173649893e-29,7.134669253159983e-29
6,im,1.33,1.030439016240683e-30,3.7109157381170965e-30
6,im,7.5,5.14251955112479e-32,1.7891125064194973e-31
1,im,11.6,3.919057230156773e-33,1.413036174980786e-32
1,im,2.66,9.401175121897809e-35,3.389633724391479e-34
1,im,15.5,2.3028564981319e-37,8.303065842757538e-37
1,re,0.34,2.5709523392682055e-41,9.256287561325447e-41
1,im,0.254,4.3910242813546885e-42,1.56979339514301e-41
1,im,1.99,3.720075976020678e-44,0.0
1,im,1.48,3.720075976020678e-44,0.0
1,im,0.34,3.720075976020678e-44,0.0
1,im,0.456,3.720075976020678e-44,0.0
1,im,0.612,3.720075976020678e-44,0.0
1,im,0.822,3.720075976020678e-44,0.0
1,re,0.456,3.720075976020678e-44,0.0
1,im,1.1,3.720075976020678e-44,0.0
