ns,part,freq,fold,weight
1,im,6.43,A1,0.501110771094388
6,re,1.33,A1,0.302548504488048
6,re,10.0,A1,0.3325122359997353
6,re,56.2,A1,0.3184260703761732
6,im,23.7,A1,0.6638291477692999
6,im,31.6,A1,0.5131516949962267
6,im,42.2,A1,0.6100081647495476
6,im,422.0,A1,0.6443306771773287
6,im,750.0,A1,0.4431635424510068
6,im,5620.0,A1,0.7303734052405599
1,im,6.43,A2,0.3823326186064203
6,re,1.33,A2,0.2637981026172525
6,re,7500.0,A2,0.3938107190838256
6,im,17.8,A2,0.602513462187597
6,im,23.7,A2,0.4356000364950671
6,im,178.0,A2,0.1615163877970697
6,im,422.0,A2,0.4142304727106384
6,im,750.0,A2,0.4815575595936656
6,im,1330.0,A2,0.4003393517075246
6,im,5620.0,A2,0.6794237618131294
1,re,15.5,A3,0.3316942076359562
1,re,4140.0,A3,0.3907479330031601
1,im,6.43,A3,0.5152624757599187
1,im,5560.0,A3,0.3527290707391483
6,re,0.999,A3,0.3532542070201017
6,im,17.8,A3,0.6150128760706964
6,im,23.7,A3,0.5177813529955313
6,im,750.0,A3,0.4014831714418073
6,im,1000.0,A3,0.3128933352851431
6,im,5620.0,A3,0.5949162862672429
1,re,67.6,A4,0.3434440360409295
1,re,219.0,A4,0.3287850562740436
1,im,8.64,A4,0.5029277676914564
1,im,7450.0,A4,0.4575071423283163
6,re,2.37,A4,0.5651393807911885
6,re,102.0,A4,0.3207580039230394
6,im,17.8,A4,0.5306122605345656
6,im,31.6,A4,0.5639373280805291
6,im,564.0,A4,0.5736667875134318
6,im,4220.0,A4,0.4742682033771514
1,im,4.8,A5,0.3425888025583924
1,im,6.43,A5,0.4289007925075831
1,im,219.0,A5,0.3782724587049417
1,im,7450.0,A5,0.5676536683779152
6,re,1.33,A5,0.4147470797056024
6,re,7500.0,A5,0.4087628511643601
6,im,17.8,A5,0.3027150891337348
6,im,31.6,A5,0.4293223382912067
6,im,564.0,A5,0.3271381833373152
6,im,750.0,A5,0.3732950203838421
1,im,6.43,A6,0.4817279886666019
6,re,23.7,A6,0.349067422927428
6,re,7500.0,A6,0.3162427240846862
6,im,17.8,A6,0.5640453478089548
6,im,31.6,A6,0.6529656482595705
6,im,56.2,A6,0.5037893067978927
6,im,422.0,A6,0.4875495593219553
6,im,564.0,A6,0.4564338197390939
6,im,5620.0,A6,0.2986548880106357
6,im,7500.0,A6,0.6411016990547241
1,im,4.8,A7,0.5692522280697528
1,im,67.6,A7,0.1864693426066164
6,re,1.33,A7,0.3462381702549155
6,re,10.0,A7,0.2732493975768985
6,re,7500.0,A7,0.4227295287215737
6,im,10.0,A7,0.3319266741864103
6,im,17.8,A7,0.4206315323553241
6,im,750.0,A7,0.3077880963217038
6,im,1000.0,A7,0.1693401294691681
6,im,7500.0,A7,0.5878946702370565
1,im,4.8,A8,0.4647644177876285
6,re,1000.0,A8,0.390991524327101
6,re,7500.0,A8,0.3709807196847618
6,im,13.3,A8,0.6328717697663303
6,im,17.8,A8,0.4348642935446657
6,im,31.6,A8,0.4882260074011556
6,im,42.2,A8,0.3494144797554597
6,im,564.0,A8,0.3317310283553993
6,im,750.0,A8,0.3010334908173978
6,im,5620.0,A8,0.5559634881655288
1,re,1.99,B1,0.2887622314465143
6,re,3.16,B1,0.2160100051429348
6,re,7500.0,B1,0.2646248713691153
6,im,17.8,B1,0.6387999414846357
6,im,31.6,B1,0.5912149412327593
6,im,316.0,B1,0.2219977343139531
6,im,564.0,B1,0.1991552018195016
6,im,750.0,B1,0.4515573681616269
6,im,1000.0,B1,0.3453602609835822
6,im,7500.0,B1,0.6311956906071982
1,im,3.57,B2,0.5434170797469473
1,im,394.0,B2,0.3625871192460378
1,im,5560.0,B2,0.2550849111563514
1,im,7450.0,B2,0.5692117587107987
6,re,7500.0,B2,0.3299346439003878
6,im,23.7,B2,0.6038597285687641
6,im,31.6,B2,0.6427115083454138
6,im,316.0,B2,0.4480127602566573
6,im,564.0,B2,0.4431449773007612
6,im,750.0,B2,0.2230910594033372
1,im,6.43,B3,0.5152570021830741
1,im,219.0,B3,0.2585845689660166
6,re,2.37,B3,0.5608599983139643
6,re,5.62,B3,0.4782652859587902
6,im,31.6,B3,0.6180845861784418
6,im,42.2,B3,0.595094687441688
6,im,316.0,B3,0.3037636082582335
6,im,564.0,B3,0.6178938520235765
6,im,4220.0,B3,0.4887080710175253
6,im,5620.0,B3,0.6482231520314969
1,re,3.57,B4,0.2769975412131522
1,im,4.8,B4,0.3786748559105868
6,re,7500.0,B4,0.2608641305913791
6,im,1.78,B4,0.2557019508339866
6,im,13.3,B4,0.6340108976732098
6,im,23.7,B4,0.6155477440955403
6,im,31.6,B4,0.5573038387373779
6,im,75.0,B4,0.4092862695057572
6,im,316.0,B4,0.585048463561405
6,im,7500.0,B4,0.5697214817645221
1,im,3.57,B5,0.3402280368983618
1,im,6.43,B5,0.5128569011056328
1,im,294.0,B5,0.4290351686128091
1,im,5560.0,B5,0.3206800119884798
1,im,7450.0,B5,0.5355872875218431
6,im,17.8,B5,0.6109896051298632
6,im,23.7,B5,0.740348632869976
6,im,56.2,B5,0.4069097203508531
6,im,178.0,B5,0.349547098645541
6,im,422.0,B5,0.4200294049386034
1,im,4.8,B6,0.5904435355457462
6,re,4.22,B6,0.5198705669057594
6,im,17.8,B6,0.4394526134899057
6,im,23.7,B6,0.7258939935690745
6,im,31.6,B6,0.4700501631008854
6,im,56.2,B6,0.5855833353973133
6,im,178.0,B6,0.4737978519139995
6,im,422.0,B6,0.4769974503247907
6,im,564.0,B6,0.5033309061077236
6,im,5620.0,B6,0.6563389071775937
