cell,n,soh_std,rmse,mae,r2
B3,127,0.32523502260537157,0.4031630586326415,0.33204464648294946,-0.5488167135784403
B4,135,0.2932822289593264,0.39042628382840266,0.35751843031312913,-0.7854001529933758
B1,102,0.29117526849105946,0.292152920908588,0.21847002190713,-0.0166940785829639
A4,269,0.1989700349695507,0.14257939050658264,0.06812657463867036,0.48458667620504525
B2,115,0.284088770367457,0.10490069152227598,0.0885015304606928,0.8624560294166197
A5,298,0.3806257291729255,0.057656879754169416,0.0430128874512,0.976976793841718
A7,300,0.37353883121969395,0.03587719663873563,0.02755595048296062,0.9907441659996818
B6,54,0.018391341700169612,0.0331125550603468,0.03298729635802723,-2.302755696903813
A3,266,0.08716486212251803,0.029293864017787875,0.024090517060785865,0.8866279002814413
A2,266,0.13076250811495926,0.025268051727303554,0.017398161049387004,0.9625188598668346
A1,267,0.10739007763040216,0.021942277169399553,0.015800448735631363,0.9580951099586617
B5,54,0.018059886909890896,0.016719003000372552,0.016029233706001404,0.1268103310908799
A6,266,0.027731084791132867,0.015422337562362777,0.014692858525385101,0.6895422865317005
A8,266,0.060791657706454956,0.00751269752965887,0.005830702822907819,0.9846700902429899
