cell,n,soh_std,rmse,mae,r2
B2,115,0.284088770367457,0.10577648717922412,0.10037985209906793,0.8601497860410319
B1,102,0.29117526849105946,0.10206263689488998,0.07624592106602775,0.8759195391139946
B3,127,0.32523502260537157,0.06727538051639631,0.05897594904802723,0.9568728370686399
A5,298,0.3806257291729255,0.06220813346358409,0.052290320468969254,0.9731985758276904
A4,269,0.1989700349695507,0.06091279593771357,0.04047883931786245,0.9059282545590978
B4,135,0.2932822289593264,0.05366056729692738,0.03643044461472558,0.9662737548146909
A1,267,0.10739007763040216,0.04267481533662969,0.025971269907250148,0.8414943990317452
A3,266,0.08716486212251803,0.041803950887541984,0.038991125628163335,0.7691193558967346
A2,266,0.13076250811495926,0.030021432115523966,0.02233337938487794,0.9470906909842002
A7,300,0.37353883121969395,0.029676110872712776,0.02542544686718779,0.9936672473515997
B6,54,0.018391341700169612,0.028536310440905172,0.02768627493259671,-1.4529387576618582
B5,54,0.018059886909890896,0.028056224564460178,0.0248871271673573,-1.4589307348182396
A6,266,0.027731084791132867,0.011615087846559208,0.010473861325233438,0.823904992751138
A8,266,0.060791657706454956,0.006656799856276055,0.005256969543128942,0.9879640939349392
