cell,n,soh_std,rmse,mae,r2
B1,102,0.29117526849105946,0.13729362048888982,0.11324065597758282,0.7754719812336394
B2,115,0.284088770367457,0.0768582765254852,0.07020070805896972,0.926164343928128
B3,127,0.32523502260537157,0.07586975070532156,0.059721566418610345,0.945150095224826
A5,298,0.3806257291729255,0.06817507539715542,0.050527085466852625,0.9678104589510572
B4,135,0.2932822289593264,0.056957808170438974,0.04323783891752309,0.9620017136920579
A4,269,0.1989700349695507,0.04778536225625313,0.03566178745150668,0.9421062210145016
A3,266,0.08716486212251803,0.0441126115156086,0.04059645717924532,0.7429140124227915
B6,54,0.018391341700169612,0.040170732736005,0.03970472089280666,-3.8608315445953725
B5,54,0.018059886909890896,0.038162087281258084,0.037603386602616744,-3.549378577928584
A1,267,0.10739007763040216,0.03768842458822325,0.021293779989246385,0.8763718757630785
A2,266,0.13076250811495926,0.03282486484676131,0.026617393824558012,0.9367478675346518
A7,300,0.37353883121969395,0.028602503072634938,0.02001954254106795,0.9941171654129282
A8,266,0.060791657706454956,0.01826127284416929,0.01364917612279928,0.9094246791567907
A6,266,0.027731084791132867,0.010691026071751424,0.009198266901400201,0.8508096191908449
