ns,part,freq,fold,weight
1,re,952.0,A1,0.2254409111273151
1,re,1710.0,A1,0.2622058772711506
1,im,6.43,A1,0.501110771094388
1,im,90.6,A1,0.1095487508912215
1,im,394.0,A1,0.0967937182893552
6,re,1.33,A1,0.302548504488048
6,re,10.0,A1,0.3325122359997353
6,re,56.2,A1,0.3184260703761732
6,re,135.0,A1,0.1851353416330002
6,re,422.0,A1,0.0999325771847128
6,re,564.0,A1,0.1335134849107465
6,re,5620.0,A1,0.2316345203314526
6,im,23.7,A1,0.6638291477692999
6,im,31.6,A1,0.5131516949962267
6,im,42.2,A1,0.6100081647495476
6,im,316.0,A1,0.2840771025220907
6,im,422.0,A1,0.6443306771773287
6,im,750.0,A1,0.4431635424510068
6,im,1000.0,A1,0.0991850104399716
6,im,5620.0,A1,0.7303734052405599
1,re,710.0,A2,0.0191107223070528
1,im,6.43,A2,0.3823326186064203
1,im,50.3,A2,0.0798923956170824
1,im,394.0,A2,0.1135759173630931
1,im,4140.0,A2,0.0271794652358887
6,re,1.33,A2,0.2637981026172525
6,re,3.16,A2,0.1585126689911502
6,re,178.0,A2,0.0978827394400482
6,re,422.0,A2,0.0291243211876441
6,re,750.0,A2,0.0427666230902208
6,re,2370.0,A2,0.0179356464051187
6,re,7500.0,A2,0.3938107190838256
6,im,17.8,A2,0.602513462187597
6,im,23.7,A2,0.4356000364950671
6,im,178.0,A2,0.1615163877970697
6,im,422.0,A2,0.4142304727106384
6,im,750.0,A2,0.4815575595936656
6,im,1330.0,A2,0.4003393517075246
6,im,3160.0,A2,0.0955181078643285
6,im,5620.0,A2,0.6794237618131294
1,re,4.8,A3,0.1975094841622638
1,re,15.5,A3,0.3316942076359562
1,re,122.0,A3,0.0421885480566791
1,re,163.0,A3,0.1321629303656768
1,re,529.0,A3,0.0232248920506076
1,re,4140.0,A3,0.3907479330031601
1,re,5560.0,A3,0.0108816264991739
1,im,6.43,A3,0.5152624757599187
1,im,67.6,A3,0.2159476031938495
1,im,5560.0,A3,0.3527290707391483
6,re,0.999,A3,0.3532542070201017
6,re,1000.0,A3,0.0511710041879292
6,re,1780.0,A3,0.13873225503955
6,re,5620.0,A3,0.0133010383257468
6,im,17.8,A3,0.6150128760706964
6,im,23.7,A3,0.5177813529955313
6,im,42.2,A3,0.2230138391043711
6,im,750.0,A3,0.4014831714418073
6,im,1000.0,A3,0.3128933352851431
6,im,5620.0,A3,0.5949162862672429
1,re,8.64,A4,0.2401898562822989
1,re,67.6,A4,0.3434440360409295
1,re,219.0,A4,0.3287850562740436
1,re,3090.0,A4,0.1367939768466311
1,im,8.64,A4,0.5029277676914564
1,im,7450.0,A4,0.4575071423283163
6,re,2.37,A4,0.5651393807911885
6,re,102.0,A4,0.3207580039230394
6,re,1000.0,A4,0.3074393474050533
6,re,2370.0,A4,0.19745911980148
6,re,4220.0,A4,0.1845397614814648
6,im,17.8,A4,0.5306122605345656
6,im,23.7,A4,0.2802505005418258
6,im,31.6,A4,0.5639373280805291
6,im,42.2,A4,0.2452653682620316
6,im,564.0,A4,0.5736667875134318
6,im,1000.0,A4,0.1332580420610128
6,im,1780.0,A4,0.1749009178486482
6,im,4220.0,A4,0.4742682033771514
6,im,7500.0,A4,0.2845160596733636
1,re,3.57,A5,0.1881586776956753
1,im,4.8,A5,0.3425888025583924
1,im,6.43,A5,0.4289007925075831
1,im,67.6,A5,0.1957406813178267
1,im,219.0,A5,0.3782724587049417
1,im,394.0,A5,0.1275787139561974
1,im,7450.0,A5,0.5676536683779152
6,re,1.33,A5,0.4147470797056024
6,re,3.16,A5,0.2246806317678102
6,re,10.0,A5,0.1346447020465586
6,re,13.3,A5,0.2545847214662241
6,re,17.8,A5,0.2152132233269727
6,re,7500.0,A5,0.4087628511643601
6,im,17.8,A5,0.3027150891337348
6,im,31.6,A5,0.4293223382912067
6,im,316.0,A5,0.2550332919858031
6,im,564.0,A5,0.3271381833373152
6,im,750.0,A5,0.3732950203838421
6,im,3160.0,A5,0.298595817388486
6,im,4220.0,A5,0.1965318719608967
1,re,28.0,A6,0.1483980550108064
1,re,710.0,A6,0.1305678025494548
1,re,1280.0,A6,0.1455657587435415
1,im,6.43,A6,0.4817279886666019
1,im,67.6,A6,0.2289118780258874
6,re,17.8,A6,0.2659229638551126
6,re,23.7,A6,0.349067422927428
6,re,564.0,A6,0.0992304982788694
6,re,7500.0,A6,0.3162427240846862
6,im,1.78,A6,0.2119835867041122
6,im,17.8,A6,0.5640453478089548
6,im,31.6,A6,0.6529656482595705
6,im,42.2,A6,0.2965756919789952
6,im,56.2,A6,0.5037893067978927
6,im,316.0,A6,0.1839512986989195
6,im,422.0,A6,0.4875495593219553
6,im,564.0,A6,0.4564338197390939
6,im,4220.0,A6,0.0706903406050265
6,im,5620.0,A6,0.2986548880106357
6,im,7500.0,A6,0.6411016990547241
1,re,28.0,A7,0.1337997363548286
1,re,219.0,A7,0.0227643092263579
1,re,2300.0,A7,0.143606994122047
1,im,4.8,A7,0.5692522280697528
1,im,67.6,A7,0.1864693426066164
1,im,90.6,A7,0.1374817075432116
1,im,394.0,A7,0.0426202963802375
6,re,1.33,A7,0.3462381702549155
6,re,10.0,A7,0.2732493975768985
6,re,17.8,A7,0.022733863404808
6,re,422.0,A7,0.018213999988012
6,re,5620.0,A7,0.0661761844002599
6,re,7500.0,A7,0.4227295287215737
6,im,10.0,A7,0.3319266741864103
6,im,17.8,A7,0.4206315323553241
6,im,31.6,A7,0.05652906461171
6,im,750.0,A7,0.3077880963217038
6,im,1000.0,A7,0.1693401294691681
6,im,3160.0,A7,0.0479402785973786
6,im,7500.0,A7,0.5878946702370565
1,re,28.0,A8,0.0827731464774922
1,re,710.0,A8,0.1555794347069714
1,im,4.8,A8,0.4647644177876285
1,im,90.6,A8,0.1499207069482983
1,im,394.0,A8,0.1175425056224972
1,im,5560.0,A8,0.2476141758447657
1,im,7450.0,A8,0.147162462235032
6,re,1000.0,A8,0.390991524327101
6,re,5620.0,A8,0.1218965854831592
6,re,7500.0,A8,0.3709807196847618
6,im,13.3,A8,0.6328717697663303
6,im,17.8,A8,0.4348642935446657
6,im,31.6,A8,0.4882260074011556
6,im,42.2,A8,0.3494144797554597
6,im,564.0,A8,0.3317310283553993
6,im,750.0,A8,0.3010334908173978
6,im,1000.0,A8,0.128345082608744
6,im,1330.0,A8,0.1196126827238739
6,im,1780.0,A8,0.1854802765769669
6,im,5620.0,A8,0.5559634881655288
1,re,1.48,B1,0.1973237056911694
1,re,1.99,B1,0.2887622314465143
1,re,2.66,B1,0.1405650288030369
1,im,67.6,B1,0.1392498785940239
1,im,394.0,B1,0.1790865122620623
1,im,4140.0,B1,0.1846200727623167
6,re,3.16,B1,0.2160100051429348
6,re,7.5,B1,0.1098612380085403
6,re,75.0,B1,0.0919179651439312
6,re,237.0,B1,0.1914055166113394
6,re,316.0,B1,0.1650234643540059
6,re,7500.0,B1,0.2646248713691153
6,im,17.8,B1,0.6387999414846357
6,im,31.6,B1,0.5912149412327593
6,im,316.0,B1,0.2219977343139531
6,im,564.0,B1,0.1991552018195016
6,im,750.0,B1,0.4515573681616269
6,im,1000.0,B1,0.3453602609835822
6,im,3160.0,B1,0.1966820489832635
6,im,7500.0,B1,0.6311956906071982
1,re,11.6,B2,0.0880277448075783
1,re,50.3,B2,0.0675443153767946
1,im,3.57,B2,0.5434170797469473
1,im,394.0,B2,0.3625871192460378
1,im,5560.0,B2,0.2550849111563514
1,im,7450.0,B2,0.5692117587107987
6,re,2.37,B2,0.1918623403672714
6,re,7.5,B2,0.1697494417582691
6,re,17.8,B2,0.2205116113396431
6,re,23.7,B2,0.1763260656881172
6,re,178.0,B2,0.0675142893027646
6,re,7500.0,B2,0.3299346439003878
6,im,4.22,B2,0.1951118439690406
6,im,23.7,B2,0.6038597285687641
6,im,31.6,B2,0.6427115083454138
6,im,316.0,B2,0.4480127602566573
6,im,564.0,B2,0.4431449773007612
6,im,750.0,B2,0.2230910594033372
6,im,1000.0,B2,0.1628486105370493
6,im,1780.0,B2,0.1034658479671264
1,re,1.99,B3,0.1451748453995883
1,re,20.9,B3,0.0723671770913914
1,im,6.43,B3,0.5152570021830741
1,im,8.64,B3,0.1700942017922616
1,im,219.0,B3,0.2585845689660166
1,im,710.0,B3,0.1346094572877574
1,im,4140.0,B3,0.0861867686099004
6,re,2.37,B3,0.5608599983139643
6,re,5.62,B3,0.4782652859587902
6,re,237.0,B3,0.082255925705717
6,re,316.0,B3,0.1564303004104684
6,re,5620.0,B3,0.237390675869542
6,im,2.37,B3,0.1770009765137634
6,im,31.6,B3,0.6180845861784418
6,im,42.2,B3,0.595094687441688
6,im,316.0,B3,0.3037636082582335
6,im,564.0,B3,0.6178938520235765
6,im,750.0,B3,0.2541735477366441
6,im,4220.0,B3,0.4887080710175253
6,im,5620.0,B3,0.6482231520314969
1,re,0.254,B4,0.1588081374028309
1,re,1.1,B4,0.1837895197889411
1,re,3.57,B4,0.2769975412131522
1,re,28.0,B4,0.217823856849677
1,im,4.8,B4,0.3786748559105868
1,im,67.6,B4,0.1792327709742411
6,re,3.16,B4,0.1525328252607342
6,re,31.6,B4,0.21007594169148
6,re,5620.0,B4,0.2158207717518115
6,re,7500.0,B4,0.2608641305913791
6,im,1.78,B4,0.2557019508339866
6,im,4.22,B4,0.1429310354196749
6,im,13.3,B4,0.6340108976732098
6,im,23.7,B4,0.6155477440955403
6,im,31.6,B4,0.5573038387373779
6,im,75.0,B4,0.4092862695057572
6,im,316.0,B4,0.585048463561405
