cell,rmse,mae,r2
A1,0.026720409569707004,0.02374731776048372,0.9378576699146549
A2,0.012029492297923659,0.009152929055681611,0.9915049903718403
A3,0.01727604572733318,0.013484614211265069,0.9605686580548588
A4,0.05301152524558372,0.03860917489651487,0.9287503503362898
A5,0.07082510162945,0.06718995756174224,0.9652593497027021
A6,0.010675976802021977,0.009035633279274482,0.8512293405589426
A7,0.020292285341118523,0.01765873761398914,0.997038985893923
A8,0.014877166342718235,0.011226647151418967,0.9398842557469693
B1,0.05325874048809576,0.04030496051457754,0.9662128459437592
B2,0.03286989418617576,0.027626043908589245,0.9864954080251064
B3,0.064626795710451,0.05126291188816194,0.9602017651146842
B4,0.1425822843868118,0.1348177423602055,0.7618839823932109
B5,0.03541675845117102,0.03481568142624952,-2.9183701225905225
B6,0.006557934021553395,0.004880422600493099,0.8704536594730753
_mean_,0.04007288644286535,0.03455805530204621,0.6570693670671067
