cell,rmse,mae,r2
A1,0.031587329008580176,0.02633353818845549,0.9131585392555615
A1,0.031587329008580176,0.02633353818845549,0.9131585392555615
A2,0.019054896918062048,0.012393975746043015,0.9786851399258105
A3,0.02823152021467507,0.024677282495627045,0.8947016909417228
A4,0.05943874609089979,0.050209373672144106,0.9104261148598416
A5,0.13474059081599274,0.11855699462037088,0.8742637726312849
A6,0.01965496973812001,0.017160195679228774,0.4957489581559368
A7,0.10565517526195117,0.0836840178430803,0.9197287354273626
A8,0.019497572304765752,0.01722647285815764,0.8967455281842192
B1,0.08178978781225936,0.06506280681243336,0.920316575210654
B2,0.06649492029085236,0.0525890245934043,0.9447335212880785
B3,0.050965580374256525,0.045448207241563655,0.9752490135675135
B4,0.3305837290663841,0.30377400885349415,-0.280030807178544
B5,0.04005960271347451,0.039343655598533415,-4.0130393442663275
B6,0.06048965344550303,0.06028017862094126,-10.02181852787794
_mean_,0.07198876020429044,0.06287155140079552,-0.24519817004128436
