ns,part,freq,importance
6,im,2.37,0.08410452
1,re,316.0,0.08020568
6,im,1.78,0.06700947
1,re,1780.0,0.06643862
1,im,1.78,0.05760877
1,im,422.0,0.051906783
1,re,4220.0,0.048137657
1,re,2370.0,0.046664238
1,re,422.0,0.044464715
6,im,3.16,0.042113546
1,re,17.8,0.031077113
1,im,1.33,0.031046033
1,re,178.0,0.030911945
1,re,750.0,0.026045294
6,im,1.33,0.021468539
1,re,1330.0,0.020883806
1,re,56.2,0.020826899
6,im,2370.0,0.016309703
1,re,564.0,0.015562018
1,re,1000.0,0.014666152
1,im,316.0,0.014538381
1,re,2.37,0.011927613
6,re,1780.0,0.010903808
1,re,237.0,0.009685912
1,im,1780.0,0.009223756
6,im,4.22,0.008403007
1,re,13.3,0.0072490238
1,re,1.33,0.0066267923
6,re,422.0,0.0064914487
6,re,4220.0,0.005827825
6,im,5.62,0.005433609
6,im,7.5,0.0051929974
1,re,42.2,0.005033973
6,im,23.7,0.0050073275
1,re,102.0,0.004784835
1,im,3160.0,0.004633012
1,re,0.999,0.0044228127
6,re,1000.0,0.003970317
1,im,4220.0,0.003874215
1,im,0.999,0.0031445036
6,re,750.0,0.0029548053
1,im,5620.0,0.0022426345
6,re,1.33,0.0021180708
1,re,5620.0,0.002067371
6,re,7500.0,0.0019482557
1,re,1.78,0.0019441142
1,re,3160.0,0.0019224131
1,im,1000.0,0.001781726
6,im,10.0,0.0017740821
1,im,1330.0,0.0017033773
6,im,13.3,0.0015664712
6,im,5620.0,0.0015359599
6,re,0.999,0.0014411155
1,re,3.16,0.0013403889
1,im,4.22,0.0011514209
1,im,7500.0,0.0011298525
1,re,31.6,0.0010737453
1,im,56.2,0.0008995661
1,im,2370.0,0.0008601978
6,im,135.0,0.0008144828
6,im,750.0,0.0007358654
1,re,4.22,0.0006713995
1,im,102.0,0.0006712244
1,im,7.5,0.0006569976
6,re,23.7,0.00060961983
6,re,7.5,0.00060272036
6,im,237.0,0.00058803224
6,re,237.0,0.0005846151
1,re,10000.0,0.0005071878
6,im,1330.0,0.00044475644
6,im,564.0,0.00043207343
6,re,4.22,0.00042250496
1,re,7.5,0.00041683187
1,im,237.0,0.0003715701
6,im,3160.0,0.00036914696
6,im,102.0,0.0003495057
6,re,1330.0,0.00034597376
1,im,3.16,0.00033533483
6,re,3160.0,0.0003154598
6,re,10000.0,0.00029785448
6,re,5620.0,0.0002864513
6,im,4220.0,0.00028316805
6,im,7500.0,0.00027248394
1,im,564.0,0.0002537483
1,re,10.0,0.00025175323
6,im,1780.0,0.0002416196
6,re,5.62,0.00023737377
1,im,10000.0,0.00022436598
6,im,75.0,0.00019395805
6,re,1.78,0.00017587224
1,re,75.0,0.00015994777
1,im,135.0,0.0001558206
1,im,178.0,0.00014426946
1,im,10.0,0.00013574377
6,im,422.0,0.00011850946
6,re,135.0,0.000117037205
6,im,316.0,0.000116425465
1,re,7500.0,0.00011081232
6,im,0.999,9.614211e-05
6,im,1000.0,7.808908e-05
6,im,31.6,6.538956e-05
6,re,564.0,5.5671728e-05
6,im,10000.0,5.370936e-05
1,im,750.0,5.0186394e-05
6,im,178.0,4.6114572e-05
1,re,23.7,4.3575234e-05
1,im,75.0,3.833692e-05
6,re,42.2,3.8197915e-05
6,im,56.2,3.523645e-05
1,im,2.37,2.8413075e-05
1,im,5.62,2.6978758e-05
1,im,42.2,1.30872e-05
6,re,31.6,9.029315e-06
1,im,13.3,8.731383e-06
6,re,2370.0,8.350667e-06
6,re,178.0,0.0
6,re,10.0,0.0
1,im,31.6,0.0
1,im,23.7,0.0
1,im,17.8,0.0
6,re,2.37,0.0
6,re,3.16,0.0
6,re,13.3,0.0
6,im,42.2,0.0
6,re,17.8,0.0
6,re,316.0,0.0
6,im,17.8,0.0
6,re,56.2,0.0
6,re,75.0,0.0
6,re,102.0,0.0
1,re,5.62,0.0
1,re,135.0,0.0
