ns,part,freq,importance
6,re,10000.0,0.3004585
1,re,7450.0,0.2549369
1,re,10000.0,0.1648352
6,re,7500.0,0.06026808
6,re,4220.0,0.043890294
6,re,5620.0,0.027187008
1,re,5560.0,0.02594521
6,re,2370.0,0.021954475
6,re,3160.0,0.017903855
1,re,4140.0,0.010655239
6,re,1780.0,0.007911946
6,re,2.37,0.0041613067
6,im,13.3,0.003947619
1,re,3090.0,0.0032749015
6,im,0.999,0.0029099751
6,re,1330.0,0.0028018618
6,re,1.78,0.0027648916
6,re,1.33,0.0027320287
6,im,17.8,0.0021293457
6,im,10.0,0.0020437436
6,re,3.16,0.0019501541
1,re,1710.0,0.0019119021
6,im,1.78,0.0016049817
1,im,0.254,0.0015431534
6,im,2370.0,0.0015393158
6,im,1.33,0.0014663981
1,re,2300.0,0.0014111417
6,im,1780.0,0.0014098138
6,re,0.999,0.0013396704
6,im,2.37,0.0012959365
6,im,3.16,0.0012429511
6,im,7.5,0.0011642128
6,im,4.22,0.00093197037
6,im,5.62,0.0008275756
6,im,1330.0,0.0007882113
6,im,750.0,0.0006411063
6,im,1000.0,0.00059793657
6,re,135.0,0.00059165293
6,re,4.22,0.00056472514
6,re,750.0,0.00052323
1,im,7450.0,0.00046589604
6,im,564.0,0.00043578693
1,re,67.6,0.0004233816
6,im,10000.0,0.0004193415
1,im,0.34,0.00041813587
6,re,237.0,0.00032567157
1,re,90.6,0.0003226302
6,re,564.0,0.00031220936
6,im,7500.0,0.00029939218
1,im,294.0,0.0002970824
1,im,5560.0,0.0002969229
6,im,5620.0,0.00028758447
6,re,178.0,0.00028302512
1,re,122.0,0.0002711622
1,im,67.6,0.00026691644
1,re,1280.0,0.00025041224
6,re,1000.0,0.0002483021
6,re,102.0,0.0002388117
1,im,90.6,0.00022802208
6,im,23.7,0.00022426658
6,im,3160.0,0.0002198477
1,im,50.3,0.00021983388
6,im,4220.0,0.00021830175
1,im,122.0,0.00020574979
1,re,1.1,0.00019522822
1,re,0.612,0.0001930107
1,re,1.48,0.00019031457
1,re,0.254,0.00018119106
1,im,219.0,0.00017528559
1,im,10000.0,0.00016220844
1,re,0.456,0.0001575896
1,im,1710.0,0.0001532905
1,re,163.0,0.0001494056
1,re,4.8,0.00014671312
6,re,316.0,0.00014643652
1,im,163.0,0.000141784
1,re,6.43,0.0001396402
6,im,422.0,0.00013621828
1,re,50.3,0.00013525678
1,re,952.0,0.0001350943
1,re,0.34,0.00013422078
6,re,422.0,0.0001331338
1,re,0.822,0.00013076983
6,re,75.0,0.00012951496
1,re,2.66,0.00012618369
1,re,8.64,0.00012604956
1,im,394.0,0.00011891697
1,im,4140.0,0.00011783913
6,re,7.5,0.00011092903
1,re,1.99,0.00010928022
1,re,3.57,0.00010607139
6,re,31.6,0.000102739934
6,re,5.62,0.000102290694
1,im,3090.0,0.00010212301
1,im,37.5,0.000101826314
6,re,42.2,0.000101611484
1,im,0.456,9.512494e-05
6,re,56.2,9.4846684e-05
6,im,178.0,9.3683426e-05
1,re,529.0,9.0268426e-05
1,re,219.0,8.9432484e-05
1,re,710.0,8.628017e-05
1,im,2300.0,8.45971e-05
6,im,135.0,7.8172365e-05
1,re,11.6,7.6428936e-05
1,im,1280.0,7.348878e-05
1,im,20.9,7.2349634e-05
1,re,394.0,6.9062015e-05
6,re,10.0,6.868646e-05
6,re,17.8,6.642327e-05
1,im,952.0,6.5635344e-05
1,im,1.1,6.362861e-05
6,im,316.0,6.090255e-05
6,re,23.7,6.000831e-05
1,im,710.0,5.967706e-05
1,re,28.0,5.619839e-05
1,re,20.9,5.4248518e-05
6,re,13.3,5.2417723e-05
1,im,28.0,5.0654573e-05
1,re,294.0,5.0426108e-05
1,re,15.5,5.0121183e-05
6,im,237.0,4.5038887e-05
1,im,529.0,4.3399177e-05
1,re,37.5,4.2438962e-05
1,im,0.612,3.553499e-05
1,im,1.48,3.431208e-05
1,im,1.99,3.4237568e-05
1,im,4.8,3.4081488e-05
1,im,3.57,3.4019537e-05
6,im,42.2,3.3868466e-05
1,im,15.5,3.3370863e-05
6,im,31.6,3.113242e-05
6,im,75.0,2.9898027e-05
1,im,0.822,2.8787485e-05
1,im,11.6,2.8249948e-05
6,im,102.0,2.758123e-05
1,im,2.66,2.6573538e-05
1,im,8.64,2.5631063e-05
1,im,6.43,2.1416678e-05
6,im,56.2,1.8399156e-05
