cell,rmse,mae,r2
A1,0.018526957051939314,0.012502154879315913,0.9701248907855663
A2,0.028534956821525122,0.018825840964691237,0.9522004599080623
A3,0.04328036432163692,0.04072127019246531,0.7525230907843053
A4,0.06219714363319972,0.04705496097780472,0.9019194225045476
A5,0.05640356643020947,0.04651378712079629,0.9779668464075633
A6,0.014825390031246308,0.012062517310576799,0.7131107331154156
A7,0.03353655857482201,0.0211874835466271,0.991912476711276
A8,0.013476180097547764,0.01002433767790056,0.9506733748205625
B1,0.05947182621358445,0.04458825967293466,0.9578699108503772
B2,0.04246345140154286,0.03778874897713144,0.9774619968177602
B3,0.04381985834825479,0.027944402450424538,0.9817029741144807
B4,0.07321418774269538,0.03878213475515813,0.937216146110522
B5,0.01904425197607912,0.01665868701670776,-0.132962865236385
B6,0.010927423535769249,0.010074733660138882,0.6403114477230966
_mean_,0.03712300829857518,0.02748066565733381,0.826573636101225
